,v1,v2,v3,v4,v5,word_length,nltk_tokens,spaCy_tokens,nltk_lemmatization,spaCy_lemmatization
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,,109,"['I', ""'m"", 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', ""n't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'I', ""'ve"", 'cried', 'enough', 'today', '.']","['I', ""'m"", 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', ""n't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'I', ""'ve"", 'cried', 'enough', 'today', '.']","['I', ""'m"", 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'do', ""n't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'I', ""'ve"", 'cried', 'enough', 'today', '.']","['I', 'be', 'go', 'to', 'be', 'home', 'soon', 'and', 'I', 'do', 'not', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', ',', 'k', '?', 'I', 'have', 'cry', 'enough', 'today', '.']"
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,,136,"['SIX', 'chances', 'to', 'win', 'CASH', '!', 'From', '100', 'to', '20,000', 'pounds', 'txt', '>', 'CSH11', 'and', 'send', 'to', '87575', '.', 'Cost', '150p/day', ',', '6days', ',', '16+', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['SIX', 'chances', 'to', 'win', 'CASH', '!', 'From', '100', 'to', '20,000', 'pounds', 'txt', '>', 'CSH11', 'and', 'send', 'to', '87575', '.', 'Cost', '150p', '/', 'day', ',', '6days', ',', '16', '+', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['SIX', 'chance', 'to', 'win', 'CASH', '!', 'From', '100', 'to', '20,000', 'pound', 'txt', '>', 'CSH11', 'and', 'send', 'to', '87575', '.', 'Cost', '150p/day', ',', '6days', ',', '16+', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['six', 'chance', 'to', 'win', 'cash', '!', 'from', '100', 'to', '20,000', 'pound', 'txt', '>', 'CSH11', 'and', 'send', 'to', '87575', '.', 'cost', '150p', '/', 'day', ',', '6days', ',', '16', '+', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']"
12,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,,156,"['URGENT', '!', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', 'å£100,000', 'Prize', 'Jackpot', '!', 'Txt', 'the', 'word', ':', 'CLAIM', 'to', 'No', ':', '81010', 'T', '&', 'C', 'www.dbuk.net', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['URGENT', '!', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', 'å£100,000', 'Prize', 'Jackpot', '!', 'Txt', 'the', 'word', ':', 'CLAIM', 'to', 'No', ':', '81010', 'T&C', 'www.dbuk.net', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['URGENT', '!', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', 'å£100,000', 'Prize', 'Jackpot', '!', 'Txt', 'the', 'word', ':', 'CLAIM', 'to', 'No', ':', '81010', 'T', '&', 'C', 'www.dbuk.net', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['urgent', '!', 'you', 'have', 'win', 'a', '1', 'week', 'free', 'membership', 'in', 'our', 'å£100,000', 'Prize', 'Jackpot', '!', 'txt', 'the', 'word', ':', 'claim', 'to', 'no', ':', '81010', 'T&C', 'www.dbuk.net', 'LCCLTD', 'POBOX', '4403ldnw1a7rw18']"
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,,196,"['I', ""'ve"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'I', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times', '.']","['I', ""'ve"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'I', 'promise', 'i', 'wo', 'nt', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times', '.']","['I', ""'ve"", 'been', 'searching', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'I', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'time', '.']","['I', 'have', 'be', 'search', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'this', 'breather', '.', 'I', 'promise', 'I', 'will', 'not', 'take', 'your', 'help', 'for', 'grant', 'and', 'will', 'fulfil', 'my', 'promise', '.', 'you', 'have', 'be', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'time', '.']"
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,,35,"['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL', '!', '!']","['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL', '!', '!']","['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL', '!', '!']","['I', 'have', 'a', 'date', 'on', 'SUNDAY', 'with', 'WILL', '!', '!']"
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,,149,"['XXXMobileMovieClub', ':', 'To', 'use', 'your', 'credit', ',', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'n=QJKGIGHJJGCBL']","['XXXMobileMovieClub', ':', 'To', 'use', 'your', 'credit', ',', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', '>', '>', 'http://wap', '.', 'xxxmobilemovieclub.com?n=QJKGIGHJJGCBL']","['XXXMobileMovieClub', ':', 'To', 'use', 'your', 'credit', ',', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', '>', '>', 'http', ':', '//wap', '.', 'xxxmobilemovieclub.com', '?', 'n=QJKGIGHJJGCBL']","['xxxmobilemovieclub', ':', 'to', 'use', 'your', 'credit', ',', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', '>', '>', 'http://wap', '.', 'xxxmobilemovieclub.com?n=qjkgighjjgcbl']"
16,ham,Oh k...i'm watching here:),,,,26,"['Oh', 'k', '...', 'i', ""'m"", 'watching', 'here', ':', ')']","['Oh', 'k', '...', ""i'm"", 'watching', 'here', ':)']","['Oh', 'k', '...', 'i', ""'m"", 'watching', 'here', ':', ')']","['oh', 'k', '...', ""i'm"", 'watch', 'here', ':)']"
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,,81,"['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', '...', 'Yes', 'i', 'did', '.', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']","['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', '...', 'Yes', 'i', 'did', '.', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']","['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', '...', 'Yes', 'i', 'did', '.', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet', '.']","['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', '...', 'yes', 'I', 'do', '.', 'he', 'v', 'naughty', 'make', 'until', 'I', 'v', 'wet', '.']"
18,ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,,58,"['Fine', 'if', 'thatåÕs', 'the', 'way', 'u', 'feel', '.', 'ThatåÕs', 'the', 'way', 'its', 'gota', 'b']","['Fine', 'if', 'thatåÕs', 'the', 'way', 'u', 'feel', '.', 'ThatåÕs', 'the', 'way', 'its', 'gota', 'b']","['Fine', 'if', 'thatåÕs', 'the', 'way', 'u', 'feel', '.', 'ThatåÕs', 'the', 'way', 'it', 'gota', 'b']","['fine', 'if', 'thatåõ', 'the', 'way', 'u', 'feel', '.', 'thatåõs', 'the', 'way', 'its', 'gota', 'b']"
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,,156,"['England', 'v', 'Macedonia', '-', 'dont', 'miss', 'the', 'goals/team', 'news', '.', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'Try', ':', 'WALES', ',', 'SCOTLAND', '4txt/Ì¼1.20', 'POBOXox36504W45WQ', '16+']","['England', 'v', 'Macedonia', '-', 'do', 'nt', 'miss', 'the', 'goals', '/', 'team', 'news', '.', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'Try', ':', 'WALES', ',', 'SCOTLAND', '4txt', '/', 'Ì¼1.20', 'POBOXox36504W45WQ', '16', '+']","['England', 'v', 'Macedonia', '-', 'dont', 'miss', 'the', 'goals/team', 'news', '.', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'Try', ':', 'WALES', ',', 'SCOTLAND', '4txt/Ì¼1.20', 'POBOXox36504W45WQ', '16+']","['England', 'v', 'Macedonia', '-', 'do', 'not', 'miss', 'the', 'goal', '/', 'team', 'news', '.', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'Try', ':', 'WALES', ',', 'SCOTLAND', '4txt', '/', 'Ì¼1.20', 'poboxox36504w45wq', '16', '+']"
20,ham,Is that seriously how you spell his name?,,,,41,"['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']","['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']","['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']","['be', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name', '?']"
21,ham,IÛ÷m going to try for 2 months ha ha only joking,,,,49,"['I\x89Û÷m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['I\x89Û÷m', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['I\x89Û÷m', 'going', 'to', 'try', 'for', '2', 'month', 'ha', 'ha', 'only', 'joking']","['i\x89û÷m', 'go', 'to', 'try', 'for', '2', 'month', 'ha', 'ha', 'only', 'joke']"
22,ham,So Ì_ pay first lar... Then when is da stock comin...,,,,53,"['So', 'Ì_', 'pay', 'first', 'lar', '...', 'Then', 'when', 'is', 'da', 'stock', 'comin', '...']","['So', 'Ì', '_', 'pay', 'first', 'lar', '...', 'Then', 'when', 'is', 'da', 'stock', 'comin', '...']","['So', 'Ì_', 'pay', 'first', 'lar', '...', 'Then', 'when', 'is', 'da', 'stock', 'comin', '...']","['so', 'Ì', '_', 'pay', 'first', 'lar', '...', 'then', 'when', 'be', 'da', 'stock', 'comin', '...']"
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,,88,"['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', '.', 'Ard', '3', 'smth', 'lor', '.', 'U', 'finish', 'ur', 'lunch', 'already', '?']","['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', '.', 'Ard', '3', 'smth', 'lor', '.', 'U', 'finish', 'ur', 'lunch', 'already', '?']","['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', '.', 'Ard', '3', 'smth', 'lor', '.', 'U', 'finish', 'ur', 'lunch', 'already', '?']","['aft', 'I', 'finish', 'my', 'lunch', 'then', 'I', 'go', 'str', 'down', 'lor', '.', 'ard', '3', 'smth', 'lor', '.', 'U', 'finish', 'ur', 'lunch', 'already', '?']"
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,,,,57,"['Ffffffffff', '.', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']","['Ffffffffff', '.', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']","['Ffffffffff', '.', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner', '?']","['ffffffffff', '.', 'alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'soon', '?']"
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,,144,"['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', '.', 'I', ""'m"", 'really', 'not', 'hungry', 'tho', '.', 'This', 'sucks', '.', 'Mark', 'is', 'getting', 'worried', '.', 'He', 'knows', 'I', ""'m"", 'sick', 'when', 'I', 'turn', 'down', 'pizza', '.', 'Lol']","['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', '.', 'I', ""'m"", 'really', 'not', 'hungry', 'tho', '.', 'This', 'sucks', '.', 'Mark', 'is', 'getting', 'worried', '.', 'He', 'knows', 'I', ""'m"", 'sick', 'when', 'I', 'turn', 'down', 'pizza', '.', 'Lol']","['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', '.', 'I', ""'m"", 'really', 'not', 'hungry', 'tho', '.', 'This', 'suck', '.', 'Mark', 'is', 'getting', 'worried', '.', 'He', 'know', 'I', ""'m"", 'sick', 'when', 'I', 'turn', 'down', 'pizza', '.', 'Lol']","['just', 'force', 'myself', 'to', 'eat', 'a', 'slice', '.', 'I', 'be', 'really', 'not', 'hungry', 'tho', '.', 'this', 'suck', '.', 'Mark', 'be', 'get', 'worried', '.', 'he', 'know', 'I', 'be', 'sick', 'when', 'I', 'turn', 'down', 'pizza', '.', 'lol']"
26,ham,Lol your always so convincing.,,,,30,"['Lol', 'your', 'always', 'so', 'convincing', '.']","['Lol', 'your', 'always', 'so', 'convincing', '.']","['Lol', 'your', 'always', 'so', 'convincing', '.']","['lol', 'your', 'always', 'so', 'convincing', '.']"
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,,134,"['Did', 'you', 'catch', 'the', 'bus', '?', 'Are', 'you', 'frying', 'an', 'egg', '?', 'Did', 'you', 'make', 'a', 'tea', '?', 'Are', 'you', 'eating', 'your', 'mom', ""'s"", 'left', 'over', 'dinner', '?', 'Do', 'you', 'feel', 'my', 'Love', '?']","['Did', 'you', 'catch', 'the', 'bus', '?', 'Are', 'you', 'frying', 'an', 'egg', '?', 'Did', 'you', 'make', 'a', 'tea', '?', 'Are', 'you', 'eating', 'your', 'mom', ""'s"", 'left', 'over', 'dinner', '?', 'Do', 'you', 'feel', 'my', 'Love', '?']","['Did', 'you', 'catch', 'the', 'bus', '?', 'Are', 'you', 'frying', 'an', 'egg', '?', 'Did', 'you', 'make', 'a', 'tea', '?', 'Are', 'you', 'eating', 'your', 'mom', ""'s"", 'left', 'over', 'dinner', '?', 'Do', 'you', 'feel', 'my', 'Love', '?']","['do', 'you', 'catch', 'the', 'bus', '?', 'be', 'you', 'fry', 'an', 'egg', '?', 'do', 'you', 'make', 'a', 'tea', '?', 'be', 'you', 'eat', 'your', 'mom', ""'s"", 'leave', 'over', 'dinner', '?', 'do', 'you', 'feel', 'my', 'love', '?']"
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,,75,"['I', ""'m"", 'back', '&', 'amp', ';', 'we', ""'re"", 'packing', 'the', 'car', 'now', ',', 'I', ""'ll"", 'let', 'you', 'know', 'if', 'there', ""'s"", 'room']","['I', ""'m"", 'back', '&', 'amp', ';', 'we', ""'re"", 'packing', 'the', 'car', 'now', ',', 'I', ""'ll"", 'let', 'you', 'know', 'if', 'there', ""'s"", 'room']","['I', ""'m"", 'back', '&', 'amp', ';', 'we', ""'re"", 'packing', 'the', 'car', 'now', ',', 'I', ""'ll"", 'let', 'you', 'know', 'if', 'there', ""'s"", 'room']","['I', 'be', 'back', '&', 'amp', ';', 'we', 'be', 'pack', 'the', 'car', 'now', ',', 'I', 'will', 'let', 'you', 'know', 'if', 'there', 'be', 'room']"
